ids,instructions,Verbs
0d1bf7480d,"Place black-eyed peas into a container, and cover with several inches of water.","place,cover"
0d1bf7480d,Allow to stand for 12 hours.,allow to stand
0d1bf7480d,Drain the water from the black-eyed peas.,drain
0d1bf7480d,"Place peas into the bowl of a food processor, and pulse until coarsely ground.","place,pulse"
0d1bf7480d,"Stir in the egg whites, salt, flour, and cayenne pepper to taste until dough consistency.",stir
0d1bf7480d,Add more flour if necessary to hold the mixture together.,add
0d1bf7480d,"Form into small balls, each about 2 inches diameter.",form
0d1bf7480d,"Heat the oil in a heavy, deep skillet to 375 degrees F (190 degrees C) over medium-high heat.",heat
0d1bf7480d,"Carefully drop the balls into the hot oil, and fry until brown, about 5 minutes.",fry
0d1bf7480d,You may need to lower the heat slightly after cooking the first kala balls.,lower heat
0d1bf7480d,Turn frequently to brown evenly on all sides.,turn frequently
99e19e53a1,Place lime and sugar into an old fashioned glass and muddle the two together.,"place,muddle"
99e19e53a1,Fill the glass with crushed ice and add the cachaca.,fill
99e19e53a1,Garnish with sugar cane.,garnish
faa264f80d,"Preheat oven to 350 degrees F. Line the bottom and sides of a 9x13-inch baking pan with Reynolds Wrap Aluminum Foil, making sure there is a bit of overhang on all sides.","preheat,line"
faa264f80d,Lightly butter the foil.,lightly butter
faa264f80d,"Combine butter, sugar, cocoa powder, espresso powder and salt in a large bowl set over a double boiler.",combine
faa264f80d,Stir the mixture occasionally until the butter is completely melted and the mixture is warm to the touch.,stir
faa264f80d,Remove from the heat and let cool slightly.,"remove,cool"
faa264f80d,"Whisk in the eggs, one at a time, and then add in the vanilla.","whisk,add"
faa264f80d,Fold in the flour until just combined and then fold in the chopped chocolate.,"fold,fold"
faa264f80d,Bake the brownies 2530 minutes or until a toothpick inserted into the center comes out clean.,bake
faa264f80d,Cool the brownies in the pan and then use the foil as handles to lift the brownies out of the pan.,"cool,lift"
faa264f80d,"To make the caramel sauce, combine the sugar with 2 tablespoons of water, along with the butter and salt, in a saucepan.",combine
faa264f80d,"Cook over medium heat, swirling the pan occasionally, until the sugar melts and turns deep amber in color.",cook
faa264f80d,"Remove the pan from the heat and then whisk in the cream, instant espresso and vanilla extract.","remove,whisk"
faa264f80d,Let the sauce cool to room temperature and then drizzle over the brownies just before serving.,"cool,drizzle"
136f4cc604,"In small bowl, combine lime juice and olive oil.",combine
136f4cc604,"Dip each chicken part in mixture, covering completely.",dip
136f4cc604,"On foil-lined baking pan, arrange chicken in single layer",arrange
136f4cc604,sprinkle with salt and pepper.,sprinkle
136f4cc604,Arrange oven rack at least 6-inches from heat and set temperature to broil.,"arrange,set to broil"
136f4cc604,Broil chicken about 15 minutes,broil
136f4cc604,turn and pour remaining lime-oil mixture over chicken.,"trun,pour"
136f4cc604,"Broil about 15 minutes more, until fork can be inserted into chicken with ease.",broil
136f4cc604,"Pour mushrooms over chicken and return to oven for about 2 minutes, until mushrooms are hot.","pour,return to oven"
7323822efa,1,none
7323822efa,Stir together the cherries and sugar in a medium bowl.,stir
7323822efa,"Let the mixture sit at room temperature for about 20 minutes, until the cherries begin to release their juices.",let sit
7323822efa,Transfer the mixture to a blender with the vinegar and blend until smooth.,"transfer,blend"
7323822efa,2,none
7323822efa,Pour the mixture into ice molds (recipe makes roughly 8) and insert popsicle sticks three-fourths of the way into each ice pop.,"pour,insert"
7323822efa,"Freeze for at least 3 hours, until frozen.",freeze
3a812899b3,"Cut fruit,cucumber and mint bite size for a glass of water, cut large for a pitcher full and double ingredients, chill with ice, add as much cranbery juice as you like.","cut,cut,chill,add"
3a812899b3,I also make it without cranberry juice.,none
3a812899b3,Add Chia seeds if you want extra fiber and they also help fight hunger.,add
3a812899b3,"I have lost 6 pounds in 1 week, I didnt think it would work, but my scale proved me wrong YAY!",none
3a812899b3,"Its mainly to infuse the water but you can also eat everything, few calories and healthy.",none
3a812899b3,The longer it sits the better it tastes.,none
3a812899b3,You can make a pitcher of this and keep it in the fridge for upto a few days.,none
3ae1fe85b4,Soak garbanzos overnight in 2 liters of water.,soak
3ae1fe85b4,"Next morning, drain.",drain
3ae1fe85b4,"Place in a large pot, cover and water, add 1 Tbs salt and bring to a boil.","place,cover,add,bring to a boil"
3ae1fe85b4,"Reduce heat, cover and simmer 1 1/2 hours.","reduce heat,cover,simmer"
3ae1fe85b4,Drain and allow to cool Soak the cracked wheat in hot water for 20 minutes.,"drain. allow to cool,soak"
3ae1fe85b4,Drain and set aside.,"drain,set aside"
3ae1fe85b4,Put in food processor as follows: Place garbanzos in container and process until finely chopped.,"put,place,process"
3ae1fe85b4,Transfer to a large mixing bowl.,transfer
3ae1fe85b4,"Peel the onion, cut into chunks and place in container along with parsley and garlic.","peel,cut,place"
3ae1fe85b4,Process until finely chopped.,process
3ae1fe85b4,Add onion mixture and cracked wheat to garbanzos in mixing bowl.,add
3ae1fe85b4,"Stir in lemon juice and spices, mixing well.","stir,mixing well"
3ae1fe85b4,Add bread crumbs until mixture is firm enough to hold a shape.,add
3ae1fe85b4,"Shape mixture into 1"" balls.",shape
3ae1fe85b4,Fry in deep hot oil until light brown and crisp.,deep fry
d964ab85c4,in a large pan add butter pat melt get hot add loins brown lightly turn and season,"add,melt"
d964ab85c4,cook till brown turn cook till done,"cook,till brown,cook,till done"
d964ab85c4,"in a pot add preserves mash till spread out add wine, sesame oil, and vinegar wisk till blended and thin","add,mash,till spread out,wish,till blended,thin"
d964ab85c4,mix water and cornstarch add to apricot preserves stir till thickens add to pork chops mix chops and sauce till covered keep heating till very thick like jelly again stirring a bit not to stick add orange juice thin a bit mix well covering the chops turn off heat let sit 5 minutes,"mix,add,stir,till thickend,add,till covered,stirring,mix well,covering,let sit"
2d47581b68,Pre-heat oven to 220C (200C for fan oven).,pre-heat
2d47581b68,"Chop the chicken into strips or chunks, and mix with half of the cheese in a bowl.","chop,mix"
2d47581b68,Evenly distribute the chicken and cheese mix between the 8 tortillas.,evenly distribute
2d47581b68,Roll up and place seam side down in a baking dish.,"roll up,place"
2d47581b68,"In a saucepan, melt the butter over a medium heat.",melt
2d47581b68,Add the flour,add
2d47581b68,cook and stir for 1 minute.,"cook,stir"
2d47581b68,"Add the chicken stock, stirring until smooth.","add,stirring"
2d47581b68,Continue cooking over a medium heat until the sauce is thick and bubbly.,continue cooking
2d47581b68,Remove from heat and stir in the sour cream and diced green Chile's.,"remove,stir"
2d47581b68,Season with salt and pepper.,season
2d47581b68,Evenly pour the sauce over the enchiladas.,evenly pour
2d47581b68,Sprinkle with remaining cheese.,sprinkle
2d47581b68,"Bake in the oven for 20 to 25 minutes, or until golden brown.",bake
2d47581b68,Sprinkle with chopped coriander before serving.,sprinkle
1d15341bc3,Slice the tuna into 8 equal steaks.,slice
1d15341bc3,Combine the pepper and salt in a small bowl and pour onto a clean dinner plate.,"combine,pour"
1d15341bc3,Press each tuna steak into the mixture to coat evenly.,press
1d15341bc3,Refrigerate until ready to grill.,refrigerate
13acc86db9,"slice strawberries,dates and cube melon.",slice
13acc86db9,"Put all fruit in large bowl and pour wine over,turning fruit once to make sure it is absorbed.Marinate for 1-2 hours.","put,pour,turning,marinate"
13acc86db9,Drain fruit and put into serving dish.,"drain,put"
13acc86db9,Fold in the yoghurt(mixed with sugar).,fold
13acc86db9,Drizzle melted chocolate over top and sprinkle with pistachios.,"drizzle,sprinkle"
13acc86db9,Chill well and serve.,"chill,serve"
1f1c6790f9,Brown the sausage and drain.,"brown,drain"
1f1c6790f9,Stir in the spaghetti sauce.,"stir,mixing well"
1f1c6790f9,Gradually add cheeses until melted.,fgradually add
1f1c6790f9,"Mix the wine and cornstarch, then add to the fondue until thickened.","mix,add"
1f1c6790f9,Serve with cut Italian bread or Vienna loaf.,serve
7b734fc1d0,heat the vinegar and sugar till sugar is desolved,"heat,till desolved"
7b734fc1d0,peel the bologna cut into eighths long ways then in half 16 pieces in all one was super thick so I had 18 pieces,"peel,cut"
7b734fc1d0,add to jar,add
7b734fc1d0,add seeds and coloring,add
7b734fc1d0,add vinegar if not enough add more vinegar straight up put lid on shake with something that grips but protect from heat,"add,add,put,shake"
7b734fc1d0,let sit at least 2 weeks,let sit
14ce18c9e0,"Using a large knife, shred the cabbage.",shred
14ce18c9e0,"Place in a large bowl with the carrot, apple and green onions.",place
14ce18c9e0,"Whisk the mayonnaise, vinegar and oil.",whisk
14ce18c9e0,Season.,season
14ce18c9e0,Toss with the salad and serve.,"toss,serve"
3ae16498fd,"Heat the chicken broth in a saucepan over medium heat, and stir in the can of corn.","heat,stir"
3ae16498fd,"Let the mixture heat to a boil, stirring occasionally, and reduce heat to a simmer.","let,heat to boil,stirring occasionally,simmer"
3ae16498fd,"In a skillet over medium-low heat, melt the butter and cook and stir the celery and onion until tender, about 5 minutes.","melt,cook,stir"
3ae16498fd,"Stir in the flour, and cook and stir for about 2 minutes to remove the raw taste from the flour.","stir,cook,stir,remove"
3ae16498fd,"Add the vegetable mixture to the saucepan, whisking in the flour to avoid lumps, and stir in the nutmeg.","add,whisking,stir"
3ae16498fd,Let the soup return to a simmer.,simmer
3ae16498fd,Whisk the egg in a bowl until thoroughly beaten.,whisk
3ae16498fd,"Stir the soup slowly in a clockwise circular motion, and slowly pour the egg into the moving soup.","stir slowly,slowly pour"
3ae16498fd,"Stir the egg lightly through the soup with a fork to produce egg strands, and sprinkle with black pepper to serve.","stir lightly,sprinkle"
2c3f9d83fd,"Using a swivel-bladed vegetable peeler, remove the peel from the fruit, leaving the bitter white pith.",remove
2c3f9d83fd,"Using a sharp knife, cut the peel into strips, according to intended use.",cut
2c3f9d83fd,"If you want to use the candied peel on cakes or tarts, cut it into matchstick strips",cut
2c3f9d83fd," if candying to dip in chocolate, cut the peel into larger strips.",cut
2c3f9d83fd,Place the strips in a small saucepan and cover with cold water.,"place,cover"
2c3f9d83fd,"Bring to a boil, drain, and refresh under cold running water.","bring to a boil,drain,refresh"
2c3f9d83fd,"Return to the saucepan, add the sugar and 1/2 cup water and cook over moderate heat until the liquid has evaporated and the peel is bright and shiny.","return,add,cook,moderate heat"
2c3f9d83fd,"Spread peel on a sheet of foil to cool, separating the strips.",spread
2c3f9d83fd,Store in a sealed jar in the refrigerator.,store
2c3f9d83fd,The candied peel will keep for up to 6 months.,none
95fdf146e9,In a large saute pan cook chorizo on medium heat for 5 minutes and add diced peppers and onions until translucent.,"cook,add"
95fdf146e9,Add hash browns and cook for 15 minutes on medium heat while turning occasionally to keep from sticking.,"add,cook,turning occasionally"
95fdf146e9,Once potatoes have browned add cheese and cover with a lid.,"add,cover"
95fdf146e9,Remove from heat and let cheese melt.,"remove,let melt"
e49d06d550,Preheat oven to 350 degrees F and grease a square baking dish.,"preheat,grease"
e49d06d550,Combine the crust ingredients by hand until mixture is crumbly.,combine
e49d06d550,Press into the bottom of the dish.,press
e49d06d550,"For the filling, lay the apples on top of the shortbread crust.",lay
e49d06d550,"Bring the sugar, water, cornstarch, butter and vanilla to a boil in a saucepan, letting it cook for 2 minutes more after boiling.","bring to a boil,cook"
e49d06d550,Pour the hot mixture over the apples.,pour
e49d06d550,"For the topping, in a small bowl, combine the flour, butter, brown sugar and cane sugar together until crumbly.",combine
e49d06d550,Crumble on top of the apples.,crumble
e49d06d550,Bake for 25 to 30 minutes until the top is slightly browned and the vanilla syrup is bubbling along the sides of the pan.,bake
c00b16f161,"In a large pot of boiling, salted water, cook the lobsters, covered, until just done, about 10 minutes after the water returns to a boil.",boiling
c00b16f161,"Meanwhile, in a medium stainless-steel saucepan, melt the butter.",melt
c00b16f161,"Remove the pan from the heat and add the lemon juice, parsley, salt, and pepper.","remove,add"
c00b16f161,Divide the butter among four small bowls.,divide
c00b16f161,Serve the lobsters with the pepper butter for dipping.,serve
7dece062a0,"Make the Sauce In a medium saucepan, heat the oil until shimmering.","make,heat"
7dece062a0,"Add the onion and cook over moderate heat, stirring occasionally, until softened and golden, about 7 minutes.","add,cook,stirring"
7dece062a0,"Add the stout, cream and bread and bring just to a boil.","add,bring to a boil"
7dece062a0,"Simmer over moderately low heat, stirring occasionally, until the bread is very soft, about 10 minutes.","simmer,low heat,stirring"
7dece062a0,Transfer the sauce to a blender and puree until smooth.,"transfer,puree"
7dece062a0,Season the sauce with salt and pepper and keep warm over very low heat.,"season,keep warm,very low heat"
7dece062a0,"Make the Vegetables In a large, deep skillet, heat the oil until shimmering.","make,heat"
7dece062a0,"Add the brussels sprouts and cipollinis and cook over moderate heat, stirring, until just starting to brown, 5 minutes.","add,cook,moderate heat,stirring"
7dece062a0,"Add the spring onions and 1 cup of water and cook, stirring, until the vegetables are crisp-tender and the water is absorbed, 5 minutes.","add,sitting"
7dece062a0,Season with salt and pepper and keep warm.,"season,keep warm"
7dece062a0,Grill the Rib Eye Light a grill.,grill
7dece062a0,Brush the steak with oil and season with salt and pepper.,"brush,season"
7dece062a0,"Grill over moderately high heat, turning once, until charred outside and medium-rare within, 5 minutes per side.","grill,high heat,turning"
7dece062a0,Transfer to a carving board and let rest for 5 minutes.,"transfer,let rest"
7dece062a0,Slice the steak against the grain and serve with the vegetables and stout sauce.,"slice,serve"
4172e42526,"Combine soup and milk in a medium saucepan, stirring with a wire whisk.","combine,stirring"
4172e42526,Add tomatoes and cheese.,add
4172e42526,Cook over low heat until cheese melts and soup is hot.,"cook,low heat"
78c17a8124,"Place cilantro, garlic, fish sauce, turmeric, pepper, red pepper flakes and salt in food processor or blender.",place
78c17a8124,Blend 45 seconds,blend
78c17a8124,add tamarind nectar and blend 1 more minute.,"add,blend"
78c17a8124,Add coconut milk and blend 1 minute.,"add,blend"
78c17a8124,Pierce chicken with fork to also mariade to seep.,pierce
78c17a8124,"Arrange chicken in bowl in single layer or in a resealable bag and pour marinade over, making sure it goes under skin.","arrange,pour"
78c17a8124,"Cover, refrigerate and marinate at least 2 hours or overnight.","cover,refrigerate,marinate"
78c17a8124,Remove chicken from marinade and place in single layer in baking dish,"remove,place"
78c17a8124,brush with marinade.,brush
78c17a8124,Pour remaining marinade in small oven-proof container and place both chicken and marinade in 350 degrees.,"pour,place,marinade"
78c17a8124,"If using bone-in parts, bake for oven for 25 minutes.",bake
78c17a8124,"Remove chicken to prepared charcoal grill, skin side up, about 6 inches from heat.","remove,grill"
78c17a8124,"Cook, turning and basting with heated sauce, about 10 minutes per side or until brown and fork can be inserted in chicken with ease.","cook,turning,basting"
78c17a8124,"Alternately, you can complete this step in your oven broiler on low.",none
78c17a8124,"If using boneless-skinless breasts, bake in oven for 20 minutes.",bake
78c17a8124,"Remove chicken to prepared charcoal grill, about 6 inches from heat.",remove
78c17a8124,"Cook, turning and basting with heated sauce, about 5 minutes per side or until brown and fork can be inserted in chicken with ease.","cook,turning,basting"
78c17a8124,"Alternately, you can complete this step in your oven broiler on low.",none
e7a057476a,Put desired amount of petroleum jelly into a small glass bowl.,put
e7a057476a,Put it in a microwave for 30 seconds,put
e7a057476a,then take it out and stir.,"take it out,stir"
e7a057476a,Continue this process until the jelly is melted.,continue
e7a057476a,Add the desired amount of cocoa powder (experiment!),add
e7a057476a,and stir.,stir
e7a057476a,Microwave for 30 more seconds and stir.,microwave
e7a057476a,Set it aside to cool.,set it aside
e7a057476a,"Once mixture is cool enough to handle, spoon it into a small container.",spoon
e7a057476a,Set it aside until the petroleum jelly gets firm.,set aside
e7a057476a,Then it is ready to use!,none
e7a057476a,You can also use this recipe to make fruit lip gloss by using powedered juice mix instead of cocoa.,none
395c72fbae,1,none
395c72fbae,Preheat oven to 350 F. Butter/spray a loaf pan (mine is 10x4).,"preheat,butter/spray"
395c72fbae,2,none
395c72fbae,"Combine flour, baking soda, baking powder, spices and salt in a small bowl.",combine
395c72fbae,Set aside.,set aside
395c72fbae,3,none
395c72fbae,"Using an electric mixer, beat the sugars, vanilla and eggs.",beat
395c72fbae,Add the pumpkin and the oil and mix well.,add
395c72fbae,4,none
395c72fbae,Add the dry ingredients until smooth.,add
395c72fbae,5,none
395c72fbae,Pour into the prepared loaf pan.,pour
395c72fbae,6,none
395c72fbae,Bake 55-60 minutes.,bake
395c72fbae,Then remove it from the oven.,remove
395c72fbae,"Let bread cool in pan for about 10 minutes, then turn it out onto a cooling rack.","cool,turn it out"
395c72fbae,"Note: For the pumpkin puree, you can add up to 1 1/4 cups if you LOVE the flavor of pumpkin, and prefer it to be less sweet.",none
790108f210,Heat oven to 350F.,heat
790108f210,Grease and lightly flour 2 (9-inch) round cake pans,"grease,lightly flour"
790108f210,set aside.,set aside
790108f210,"Combine flour, baking soda, baking powder and salt in bowl",combine
790108f210,set aside.,set aside
790108f210,Place sugar and 3/4 cup butter in another bowl,place
790108f210," beat at medium speed, scraping bowl often, until creamy.","beat,scraping"
790108f210,"Add cooled chocolate, eggs and 2 teaspoons vanilla",add
790108f210,continue beating until well mixed.,continue
790108f210,"Add flour mixture to butter mixture alternately with 1 1/3 cups coffee, beating at low speed just until well mixed.","add,beating"
790108f210,Pour batter evenly into prepared pans.,pour evenly
790108f210,Bake 20-30 minutes or until toothpick inserted in center comes out clean.,bake
790108f210,Cool 10 minutes.,"cool,turn it out"
790108f210,Remove from pans.,remove
790108f210,Cool completely.,"cool,turn it out"
790108f210,Beat 2/3 cup butter in bowl at medium speed until creamy.,beat
790108f210,"Gradually add powdered sugar, cocoa, vanilla and enough coffee for desired spreading consistency, beating well after each addition.","gradually add,beating well"
790108f210,Place 1 cake layer onto serving plate.,place
790108f210,Spread 1/2 cup frosting over top,spread
790108f210,top with second cake layer.,top
790108f210,Spread remaining frosting over top and sides of cake.,spread
6be86745ed,Mix 1 cup of the crushed cookies and the butter,mix
6be86745ed,press firmly onto bottom of 9-inch square pan.,press firmly
6be86745ed,Set remaining crushed cookies aside for later use.,set
6be86745ed,Stir boiling water into dry gelatin in medium bowl at least 2 minutes until completely dissolved.,stir
6be86745ed,Add cherries and corn syrup,add
6be86745ed,stir until well blended.,stir
6be86745ed,Refrigerate 30 minutes or until slightly thickened.,refrigerate
6be86745ed,Pour over crust.,pour
6be86745ed,Refrigerate 3 hours or until firm.,refrigerate
6be86745ed,Spread with whipped topping just before serving,spread
6be86745ed,sprinkle with the remaining crushed cookies.,sprinkle
6be86745ed,Cut into 16 squares to serve.,cut
6be86745ed,Store leftover dessert in refrigerator.,store
6d970b9b93,Scramble eggs in a bowl.,scramble
6d970b9b93,Melt 1/2 TB butter in a pan.,melt
6d970b9b93,Add your eggs and when it looks like the edges are starting to set add your mexican cheese.,"add,add"
6d970b9b93,Gently fold your omelet and flip.,"gently fold,flip"
6d970b9b93,If you would like you can sprinkle extra cheese!,none
6d970b9b93,Enjoy!,none
63214c75f1,"In a large saute pan, combine the carrots, 1/2 cup of the water, and butter.",combine
63214c75f1,Sprinkle the sugar over the top and bring to a boil over medium-high heat Cover and reduce the heat to medium.,"sprinkle,bring to a boil,cover,reduce heat"
63214c75f1,"Simmer for 10 minutes, or until the carrots are almost tender.",simmer
63214c75f1,Add the celery root (add more water if the mixture is dry).,add
63214c75f1,"Cook for 5 minutes, or until the celery root is just tender.",cook
63214c75f1,Season with the salt and pepper.,season
99d4d1b94b,Bring milk to a rolling boil and add grits.,"bring to a boil,add"
99d4d1b94b,Cook for 15 to 18 minutes while continuously stirring.,"cook,continuously stirring"
99d4d1b94b,Do not stop stirring as the milk and grits will burn.,"stirring,grits"
99d4d1b94b,Add molasses and continue to cook for another few minutes.,"add,cook"
99d4d1b94b,Take off heat and add everything except the eggs.,"take off heta,add"
99d4d1b94b,Mix well.,mix well
99d4d1b94b,Allow the mixture to cool a bit and then add the eggs.,"allow,cool,add"
99d4d1b94b,(Adding the eggs to a hot mixture will result in scrambled eggs in your pudding.),none
99d4d1b94b,Preheat oven to 325 degrees F. Grease a 5-quart capacity baking dish or Dutch oven.,"preheat,grease"
99d4d1b94b,Pour mixture into dish and bake for 2 1/2 hours or until set.,"pour,bake"
99d4d1b94b,Serve with whipped cream or ice cream.,serve
331661edd2,Preheat oven to 400 F.,preheat
331661edd2,Beat eggs in bowl.,beat
331661edd2,Mix in the milk (1 tablespoon of milk per egg) and salt and pepper.,mix
331661edd2,Spray a 6-count standard size muffin pan with non-stick spray.,spray
331661edd2,Line one slice of bacon around the inside edge of each muffin mold.,line
331661edd2,Press bacon into the walls.,press
331661edd2,Fill each well about 3/4 full (about 1 egg per mold).,fill
331661edd2,Add 1 tablespoon of grated cheese into each well.,add
331661edd2,Stir.,stir
331661edd2,Add cooked sausage and top with the remaining cheese.,"add,top"
331661edd2,"Cook in the 400 F oven until done, about 20-25 minutes.",cool
331661edd2,Once the surface of the frittata is firm (about halfway through the cook time) add the halved cherry tomatoes over the top of each and finish cooking.,"add,finish cooking"
331661edd2,Remove from oven when done.,remove
331661edd2,Garnish with parsley leaf or chopped Italian parsley.,garnish
e59653007c,Make cake per box instructions but also add 1 tsp vanilla extract to mix.,make
e59653007c,You can also add crushed butter fingers to cake batter if desired.,add
e59653007c,Bake cake at 350.,bake
e59653007c,When cake is done let cool.,let cool
e59653007c,"Icing: mix whip cream cheese, condensed milk & cool whip together.","mix,whip"
e59653007c,Crush desired amount of butterfingers add to icing.,"crush,add"
e59653007c,(Save rest of butterfingers for top of cake),save
279203f857,Make the outside by mixing the first 4 ingredients together.,"make,mixing"
279203f857,Let rest for 30 minutes,let rest
279203f857,refrigerate for 10 minutes.,refrigerate
279203f857,Divide into 15 equal portions.,divide
279203f857,Roll out into small circles.,roll out
279203f857,Place meat and cabbage filling in and twist tops to seal.,"place,twist"
279203f857,Steam over boiling water in a steamer for 20 minutes until cooked through.,steam
7ce0685137,"In a medium bowl, whisk together oil, vinegar, mustard",whisk
7ce0685137,season with salt and pepper.,season
7ce0685137,Whisk in onion and peppers.,whisk
7ce0685137,"Meanwhile, boil potatoes in salted water until just tender, 5-10 minutes",boil
7ce0685137,drain and cool.,drain
7ce0685137,Add potatoes and corn to vinaigrette and toss.,"add,toss"
41f88eb64d,Halve squash crosswise,halve
41f88eb64d,remove seeds.,remove
41f88eb64d,"Place cut sides down in a 2 qt rectangular baking dish, add 1/4 c water, cover with ventilated plastic wrap and microwave on HIGH for 10-15 minutes or until squash separates when pierced with a fork.","place,cover,microwave"
41f88eb64d,Rearrange once for even baking.,rearrange
41f88eb64d,DO NOT over cook squash or it will be mushy.,none
41f88eb64d,"In a large skillet cook sausage, mushrooms, pepper, onion and garlic over med heat until sausage is no longer pink","cook,med heat"
41f88eb64d,drain fat.,drain
41f88eb64d,Preheat oven to 350 degrees.,preheat
41f88eb64d,Scape pulp from squash (about 3 c) wipe out baking dish and coat with nonstick spray.,"scape,wipe out,coat"
41f88eb64d,"Spread half the squash in dish, add half the sausage mixture and half the olives.","spread,add,half"
41f88eb64d,Sprinkle with seasoning and 1/8 tsp pepper.,sprinkle
41f88eb64d,Top with half the sauce and half the cheese.,"top,half"
41f88eb64d,"Top with remaining squash, sausage, olives and sauce.",top
41f88eb64d,"Bake for 30 min, sprinkle with remaining cheese, bake for 5 more min or until cheese is melted.","bake,sprinkle,bake"
41f88eb64d,Let stand 10 minutes before serving.,let stand
7c3daf37aa,Place the potatoes in a large saucepan with water to cover by 1 inch.,place
7c3daf37aa,"Add a generous pinch of salt and cook for 15 minutes, or until tender","add,cook"
7c3daf37aa,do not overcook.,none
7c3daf37aa,Drain the potatoes and arrange them in a 9 x 9 inch casserole dish.,drain
7c3daf37aa,"While potatoes are cooking, in large skillet, combine the beef and onion and cook together over medium heat until the beef is browned and the onion softened, 12-15 minutes.",combine
7c3daf37aa,Pour off excess fat.,pour off
7c3daf37aa,Preheat oven to 350 degrees.,preheat
7c3daf37aa,Melt the butter in a medium saucepan and whisk in flour to make a roux.,"melt,whisk"
7c3daf37aa,"Cook over medium heat, whisking constantly, until the mixture bubbles and the flour turns light brown in color.","cool,whisking constantly"
7c3daf37aa,Gradually whisk in the milk and continue to stir while cooking over medium heat.,"gradually whisk,stir"
7c3daf37aa,"When the mixture thickens, whisk in the salt and pepper, then stir in the cheese and browned beef.","thickens,whisk,stir"
7c3daf37aa,Pour the ground beef mixture over the potatoes and bake the casserole for 20 minutes until heated through and bubbling.,"pour,bake"
7c3daf37aa,Stir the casserole gently.,stir gently
7c3daf37aa,"Sprinkle a little more cheddar cheese on top, if desired, and the bread crumbs on top of the casserole and bake until the crumbs are toasted, about 5 minutes longer.","sprinkle,bake"
f2fa4b67e6,"In a 10-inch skillet, over medium-high heat, heat the olive or salad oil until hot then add the onions and cook until golden brown.","heat,add,cook"
f2fa4b67e6,Remove the onions to a bowl and set aside.,"remove,set aside"
f2fa4b67e6,"On a sheet of waxed paper, mix the flour, salt, dried rosemary, and pepper, blending well, then coat each of the chicken thighs.","mix,blending well,coat"
f2fa4b67e6,"Still over medium high heat, cook the chicken, in the remaining oil in the skillet, until golden brown on all sides.",cook
f2fa4b67e6,"Add the potatoes, lemon juice, cooked onions and 1/4 cup of water to the chicken in the skillet.",add
f2fa4b67e6,"Increase the heat to high and heat to boiling, then reduce the heat, cover, and simmer for 20 minutes or until the chicken and potatoes are fork tender and the juices run clear when the chicken is pierced with a knife.","high,boiling,reduce heat,cover,simmer"
f2fa4b67e6,Skim off the fat from the liquid in the skillet.,skim off
f2fa4b67e6,"Stir in the spinach and olives, cooking until the spinach is just wilted.","stir,cooking"
6e59532f4e,Put 2 tablespoons of the oil in a large pot over medium heat.,put
6e59532f4e,"When its hot, add onion, carrot, celery and garlic",add
6e59532f4e," sprinkle with salt and pepper and cook, stirring occasionally, until vegetables are soft, 5 to 10 minutes.","sprinkle,stirring ocassionally"
6e59532f4e,Heat the oven to 500 degrees.,heat
6e59532f4e,Drain the beans,drain
6e59532f4e," if theyre canned, rinse them as well.",rinse
6e59532f4e,"Add them to the pot along with tomatoes and their juices and stock, rosemary and thyme.",add
6e59532f4e,"Bring to a boil, then reduce heat so the soup bubbles steadily","being to a boil,reduce heat"
6e59532f4e," cover and cook, stirring once or twice to break up the tomatoes, until the flavors meld, 15 to 20 minutes.","cover,cook,stirring"
6e59532f4e,"Fish out and discard rosemary and thyme stems, if you like, and stir in kale.","fish out,discard,stir"
6e59532f4e,Taste and adjust seasoning.,"taste,adjust"
6e59532f4e,Lay bread slices on top of the stew so they cover the top and overlap as little as possible.,"lay,overlap"
6e59532f4e,"Scatter red onion slices over the top, drizzle with the remaining 3 tablespoons oil and sprinkle with Parmesan.","scatter,sprinkle"
6e59532f4e,"Put the pot in the oven and bake until the bread, onions and cheese are browned and crisp, 10 to 15 minutes.","put,bake"
6e59532f4e,"(If your pot fits under the broiler, you can also brown the top there.)",none
6e59532f4e,Divide the soup and bread among 4 bowls and serve.,"divide,serve"
a0716939dc,Make very strong tea in a large teapot using the tea-bags and 1 liter/quart boiling water.,make
a0716939dc,Add the honey and 6 sprigs of the mint to the teapot,add
a0716939dc,"After 20 minutes remove the tea-bags, and let the tea get really cold.","remove,let"
a0716939dc,When the tea is cold remove the mint.,remove
a0716939dc,"Put ice in a large jug, pour the tea over, then the orange juice and the juice of the lime.","put,pour"
a0716939dc,"Follow this with the other sprigs of mint, the orange and lemon slices.",follow
a0716939dc,Stir well and serve in glasses with more ice.,"stir,serve"
d35b486560,Preheat oven to 300F,preheat
d35b486560,"Mix together all ingredients, except potatoes, in a large Dutch oven casserole",mix
d35b486560,cover and cook for 3 hours.,"cover,cook"
d35b486560,Add potatoes and cook for additional 1 hour.,"add,cook"
f7b4efb1f7,Heat oven to 375 degrees.,heat
f7b4efb1f7,Line a rimmed sheet pan with parchment paper or a nonstick baking mat.,line
f7b4efb1f7,"Put half the grapes in the pan and roast 1 hour, turning grapes after 30 minutes.","put,roast"
f7b4efb1f7,They will become wrinkled and golden,none
f7b4efb1f7,"Meanwhile, in a blender, puree remaining grapes until smooth.",puree
f7b4efb1f7,"Strain through a sieve, pressing to release all juices from skins.","strain,pressing"
f7b4efb1f7,Discard skins.,discard
